"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","166","CCK","Cocos Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","136752.054",,"136752.054","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","170","COL","Colombia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","42710178.165",,"42710178.165","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","178","COG","Congo","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","862891.214",,"862891.214","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","180","COD","Dem. Rep. of the Congo","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","388078.959",,"388078.959","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","184","COK","Cook Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7904358.876",,"7904358.876","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","188","CRI","Costa Rica","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","8321345.072",,"8321345.072","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","192","CUB","Cuba","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","29513332.718",,"29513332.718","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","204","BEN","Benin","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","17642.777",,"17642.777","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","212","DMA","Dominica","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","13794.937",,"13794.937","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","214","DOM","Dominican Rep.","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","872035.889",,"872035.889","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","218","ECU","Ecuador","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3634202.453",,"3634202.453","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","222","SLV","El Salvador","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","193246.007",,"193246.007","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","226","GNQ","Equatorial Guinea","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","230956.732",,"230956.732","0","false","true",
